CICLO,Fecha,Parcela ,Repetición,Tratamiento,Porte,Número de Plantas Vivas,Número de Plantas Marchitaz,Planta 1 Patologías y Severidades ,Planta 2 Patologías y Severidades ,Planta 3 Patologías y Severidades ,Observaciones
I,01/09/2020,Invernadero,2,5,BAJO,36,14,DO,DO,DO,NA
I,01/09/2020,Invernadero,2,8,BAJO,7,0,0,0,0,NA
I,01/09/2020,Invernadero,2,12,BAJO,16,1,0,0,DO,NA
I,01/09/2020,Invernadero,2,9,BAJO,20,0,0,0,0,NA
I,01/09/2020,Invernadero,2,13,BAJO,20,NA,0,0,DO,"MANCHAS FOLIARES EN HOJAS BAJERAS, CIRCULARES DEL BORDE AL CENTRO"
I,01/09/2020,Invernadero,2,4R,BAJO,14,NA,0,0,0,NA
I,01/09/2020,Invernadero,2,4C,BAJO,10,0,0,0,0,NA
I,01/09/2020,Invernadero,2,7,BAJO,13,2,0,0,0,NA
I,01/09/2020,Invernadero,2,6,BAJO,17,0,0,0,0,NA
I,01/09/2020,Invernadero,2,2,BAJO,8,0,0,0,0,NA
I,01/09/2020,Invernadero,2,3,BAJO,24,1,0,0,0,NA
I,01/09/2020,Invernadero,2,1,BAJO,27,0,0,0,0,NA
I,01/09/2020,Invernadero,2,10,BAJO,20,0,0,0,0,NA
I,01/09/2020,Invernadero,3,5,BAJO,30,0,0,0,0,NA
I,01/09/2020,Invernadero,3,1,BAJO,28,5,0,DO,DO,NA
I,01/09/2020,Invernadero,3,14,BAJO,18,0,0,0,0,NA
I,01/09/2020,Invernadero,3,12,BAJO,16,1,DO,0,0,PLANTA MARCHITA
I,01/09/2020,Invernadero,3,16,BAJO,8,0,0,0,0,NA
I,01/09/2020,Invernadero,3,2,BAJO,18,NA,DO,DO,DO,NA
I,01/09/2020,Invernadero,3,10,BAJO,16,0,0,0,0,NA
I,01/09/2020,Invernadero,3,7,BAJO,16,5,0,0,0,NA
I,01/09/2020,Invernadero,3,15,BAJO,10,0,0,0,0,NA
I,01/09/2020,Invernadero,3,11,BAJO,16,4,0,DO,O,NA
I,01/09/2020,Invernadero,3,13,BAJO,12,0,0,0,0,NA
I,01/09/2020,Invernadero,3,4,BAJO,14,0,0,0,0,NA
I,01/09/2020,Invernadero,3,8,BAJO,6,0,0,0,0,NA
I,01/09/2020,Invernadero,3,9,BAJO,14,2,0,0,0,NA
I,01/09/2020,Invernadero,3,3,BAJO,24,7,0,DO,0,NA
I,01/09/2020,Invernadero,3,6,BAJO,8,8,NA,NA,NA,NA
I,01/09/2020,Casa Malla,1,5,ALTO,24,9,DO,0,0,DORDES QUEMADOS PLANTA MARCHITA
I,01/09/2020,Casa Malla,1,3,ALTO,24,4,0,DO,0,SINTOMAS DE MARCHITEZ
I,01/09/2020,Casa Malla,1,4,ALTO,24,3,DO,0,DO,SINTOMAS DE MARCHITEZ
I,01/09/2020,Casa Malla,1,2,ALTO,24,0,0,0,0,NA
I,01/09/2020,Casa Malla,1,1,ALTO,22,5,DO,0,0,"SINTOMAS DE MARCHITEZ, QUEMAZÓN FOLIAR"
I,01/09/2020,Casa Malla,1,6,ALTO,24,1,0,0,0,SINTOMAS DE MARCHITEZ AHORCAMIENTO DEL CUELLO
I,01/09/2020,Casa Malla,1,7,ALTO,24,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,6,ALTO,23,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,7,ALTO,24,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,2,ALTO,24,7,0,DO,DO,PLANTAS MARCHITAZ HOJAS BAJERAS QUEMADAS
I,01/09/2020,Casa Malla,2,3,ALTO,24,4,0,DO,0,NA
I,01/09/2020,Casa Malla,2,1,ALTO,12,1,0,0,0,NA
I,01/09/2020,Casa Malla,2,5,ALTO,12,5,DO,DO,DO,NA
I,01/09/2020,Casa Malla,2,4,ALTO,24,4,DO,0,DO,NA
I,01/09/2020,Casa Malla,3,3,ALTO,24,13,DO,DO,DO,NA
I,01/09/2020,Casa Malla,3,1,ALTO,12,5,DO,DO,DO,NA
I,01/09/2020,Casa Malla,3,2,ALTO,24,11,DO,DO,0,NA
I,01/09/2020,Casa Malla,3,5,ALTO,12,2,DO,DO,0,PRINCIPAL QUEMAZON FOLIAR
I,01/09/2020,Casa Malla,3,4,ALTO,21,10,DO,DO,DO,NA
I,01/09/2020,Casa Malla,3,6,ALTO,15,7,DO,DO,DO,"PARCELA ATÍPICA, COGOLLOS QUEMADOS, TALLOS EN BUEN ESTADO"
I,01/09/2020,Casa Malla,3,7,ALTO,24,5,DO,DO,DO,"SÍNTOMAS DE MARCHITEZ AHORCAMIENTO DEL CUELLO, FUSARIUM"
I,01/09/2020,Casa Malla,1,5,BAJO,45,10,0,0,0,NA
I,01/09/2020,Casa Malla,1,2,BAJO,19,0,0,0,0,NA
I,01/09/2020,Casa Malla,1,11,BAJO,30,4,DO,DO,0,PLANTAS MARCHITEZ
I,01/09/2020,Casa Malla,1,6,BAJO,16,2,0,0,0,NA
I,01/09/2020,Casa Malla,1,12,BAJO,15,1,0,0,0,NA
I,01/09/2020,Casa Malla,1,4R,BAJO,20,16,NA,NA,NA,NA
I,01/09/2020,Casa Malla,1,4C,BAJO,13,0,0,0,0,NA
I,01/09/2020,Casa Malla,1,8,BAJO,7,2,0,0,0,NA
I,01/09/2020,Casa Malla,1,1,BAJO,49,11,0,0,0,NA
I,01/09/2020,Casa Malla,1,10,BAJO,28,6,0,DO,0,NA
I,01/09/2020,Casa Malla,1,9,BAJO,28,3,0,DO,0,NA
I,01/09/2020,Casa Malla,1,15,BAJO,16,5,DO,DO,0,NA
I,01/09/2020,Casa Malla,1,13,BAJO,16,1,0,0,0,NA
I,01/09/2020,Casa Malla,1,14,BAJO,16,7,0,0,0,NA
I,01/09/2020,Casa Malla,1,16,BAJO,16,1,0,0,0,NA
I,01/09/2020,Casa Malla,1,7,BAJO,15,0,0,0,0,NA
I,01/09/2020,Casa Malla,1,3,BAJO,49,6,0,DO,DO,NA
I,01/09/2020,Casa Malla,2,16,BAJO,16,4,0,DO,0,
I,01/09/2020,Casa Malla,2,7,BAJO,15,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,13,BAJO,15,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,3,BAJO,42,3,0,0,0,NA
I,01/09/2020,Casa Malla,2,5,BAJO,63,53,DO,DO,DO,NA
I,01/09/2020,Casa Malla,2,6,BAJO,20,17,0,0,0,NA
I,01/09/2020,Casa Malla,2,11,BAJO,28,7,0,0,0,DAÑOS POR MANGUERA
I,01/09/2020,Casa Malla,2,1,BAJO,23,3,0,0,0,NA
I,01/09/2020,Casa Malla,2,12,BAJO,20,1,0,0,0,NA
I,01/09/2020,Casa Malla,2,10,BAJO,35,9,0,0,0,NA
I,01/09/2020,Casa Malla,2,15,BAJO,16,7,DO,DO,0,NA
I,01/09/2020,Casa Malla,2,4R,BAJO,20,3,0,0,0,NA
I,01/09/2020,Casa Malla,2,4C,BAJO,15,1,0,0,0,NA
I,01/09/2020,Casa Malla,2,9,BAJO,28,0,0,0,0,NA
I,01/09/2020,Casa Malla,2,14,BAJO,16,4,DO,DO,DO,NA
I,01/09/2020,Casa Malla,2,8,BAJO,12,2,0,0,0,NA
I,01/09/2020,Casa Malla,2,2,BAJO,36,1,0,0,0,NA
I,01/09/2020,Casa Malla,3,2,BAJO,24,7,0,DO,DO,NA
I,01/09/2020,Casa Malla,3,6,BAJO,13,3,0,0,0,NA
I,01/09/2020,Casa Malla,3,16,BAJO,20,10,DO,DO,DO,NA
I,01/09/2020,Casa Malla,3,10,BAJO,28,6,DO,DO,0,NA
I,01/09/2020,Casa Malla,3,14,BAJO,16,4,0,DO,DO,NA
I,01/09/2020,Casa Malla,3,9,BAJO,28,11,DO,DO,DO,NA
I,01/09/2020,Casa Malla,3,4R,BAJO,15,0,0,0,0,NA
I,01/09/2020,Casa Malla,3,4C,BAJO,12,2,0,0,0,NA
I,01/09/2020,Casa Malla,3,3,BAJO,42,15,0,0,0,NA
I,01/09/2020,Casa Malla,3,15,BAJO,16,4,DO,0,0,NA
I,01/09/2020,Casa Malla,3,11,BAJO,28,0,0,0,0,NA
I,01/09/2020,Casa Malla,3,12,BAJO,16,1,0,0,0,NA
I,01/09/2020,Casa Malla,3,13,BAJO,16,1,0,0,0,NA
I,01/09/2020,Casa Malla,3,1,BAJO,28,7,0,DO,DO,NA
I,01/09/2020,Casa Malla,3,7,BAJO,20,1,0,0,0,NA
I,01/09/2020,Casa Malla,3,8,BAJO,7,0,0,0,0,NA
I,01/09/2020,Casa Malla,3,5,BAJO,63,18,0,DO,DO,NA
I,01/09/2020,Campo Abierto,1,4,ALTO,18,2,DO,DO,DO,SÍNTOMAS DE MARCHITEZ QUEMAZON FOLIAR
I,01/09/2020,Campo Abierto,1,3,ALTO,17,0,0,0,0,NA
I,01/09/2020,Campo Abierto,1,2,ALTO,18,6,0,DO,DO,NA
I,01/09/2020,Campo Abierto,1,5,ALTO,18,15,DO,DO,DO,NA
I,01/09/2020,Campo Abierto,1,1,ALTO,18,11,DO,DO,DO,SE OBSERVARON SIGNOS ASOCIADOS A FUSARIUM
I,01/09/2020,Campo Abierto,1,7,ALTO,18,3,DO,DO,0,NA
I,01/09/2020,Campo Abierto,1,6,ALTO,18,4,0,0,0,NA
I,01/09/2020,Campo Abierto,2,7,ALTO,18,2,DO,0,DO,NA
I,01/09/2020,Campo Abierto,2,6,ALTO,18,8,0,0,DO,NA
I,01/09/2020,Campo Abierto,2,1,ALTO,18,13,0,DO,0,NA
I,01/09/2020,Campo Abierto,2,5,ALTO,18,13,0,DO,0,NA
I,01/09/2020,Campo Abierto,2,3,ALTO,18,8,0,DO,0,NA
I,01/09/2020,Campo Abierto,2,2,ALTO,18,14,0,0,0,NA
I,01/09/2020,Campo Abierto,2,4,ALTO,18,18,DO,DO,DO,INCIDENCIA QUEMAZON FOLIAR
I,01/09/2020,Campo Abierto,3,3,ALTO,18,6,0,0,0,NA
I,01/09/2020,Campo Abierto,3,2,ALTO,18,9,0,DO,0,NA
I,01/09/2020,Campo Abierto,3,1,ALTO,18,5,0,0,0,NA
I,01/09/2020,Campo Abierto,3,4,ALTO,18,10,DO,DO,DO,NA
I,01/09/2020,Campo Abierto,3,5,ALTO,18,15,DO,0,DO,NA
I,01/09/2020,Campo Abierto,3,7,ALTO,18,6,0,0,0,NA
I,01/09/2020,Campo Abierto,3,6,ALTO,18,5,0,0,0,NA
I,01/09/2020,Campo abierto,1,3,BAJO,49,7,0,0,0,NA
I,01/09/2020,Campo abierto,1,12,BAJO,28,4,0,0,0,NA
I,01/09/2020,Campo abierto,1,6,BAJO,40,17,DO,DO,0,NA
I,01/09/2020,Campo abierto,1,5,BAJO,40,16,DO,DO,0,NA
I,01/09/2020,Campo abierto,1,2,BAJO,49,13,0,0,0,NA
I,01/09/2020,Campo abierto,1,13,BAJO,28,3,0,DO,0,NA
I,01/09/2020,Campo abierto,1,7,BAJO,28,6,0,0,DO,QUEMAZON FOLIAR
I,01/09/2020,Campo abierto,1,11,BAJO,28,3,0,0,0,NA
I,01/09/2020,Campo abierto,1,15,BAJO,20,4,0,0,DO,NA
I,01/09/2020,Campo abierto,1,10,BAJO,28,3,0,0,0,NA
I,01/09/2020,Campo abierto,1,4C,BAJO,6,NA,NA,NA,NA,NA
I,01/09/2020,Campo abierto,1,4R,BAJO,NA,NA,NA,NA,NA,NA
I,01/09/2020,Campo abierto,1,14,BAJO,16,6,DO,DO,DO,NA
I,01/09/2020,Campo abierto,1,8,BAJO,16,0,0,0,0,NA
I,01/09/2020,Campo abierto,1,1,BAJO,25,10,0,0,0,NA
I,01/09/2020,Campo abierto,1,9,BAJO,20,12,DO,DO,DO,NA
I,01/09/2020,Campo abierto,1,16,BAJO,16,3,0,DO,0,NA
I,01/09/2020,Campo abierto,2,7,BAJO,16,2,0,DO,0,NA
I,01/09/2020,Campo abierto,2,8,BAJO,12,0,0,0,0,NA
I,01/09/2020,Campo abierto,2,15,BAJO,16,7,DO,0,0,NA
I,01/09/2020,Campo abierto,2,12,BAJO,12,1,0,0,0,NA
I,01/09/2020,Campo abierto,2,3,BAJO,42,9,0,0,0,NA
I,01/09/2020,Campo abierto,2,14,BAJO,12,6,DO,DO,DO,NA
I,01/09/2020,Campo abierto,2,6,BAJO,30,7,NA,NA,NA,NA
I,01/09/2020,Campo abierto,2,13,BAJO,28,2,0,0,0,NA
I,01/09/2020,Campo abierto,2,1,BAJO,28,5,0,0,0,NA
I,01/09/2020,Campo abierto,2,5,BAJO,30,6,0,0,0,NA
I,01/09/2020,Campo abierto,2,2,BAJO,22,1,0,0,0,NA
I,01/09/2020,Campo abierto,2,4C,BAJO,10,NA,NA,NA,NA,NA
I,01/09/2020,Campo abierto,2,4R,BAJO,5,NA,NA,NA,NA,NA
I,01/09/2020,Campo abierto,2,10,BAJO,28,4,0,0,0,NA
I,01/09/2020,Campo abierto,2,11,BAJO,8,0,0,0,0,NA
I,01/09/2020,Campo abierto,2,16,BAJO,16,0,0,0,0,NA
I,01/09/2020,Campo abierto,2,9,BAJO,4,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,15,BAJO,20,5,0,0,0,NA
I,01/09/2020,Campo abierto,3,11,BAJO,15,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,12,BAJO,15,1,0,DO,0,PLANTA CON QUEMAZON FOLIAR
I,01/09/2020,Campo abierto,3,14,BAJO,6,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,4R,BAJO,NA,NA,NA,NA,NA,NA
I,01/09/2020,Campo abierto,3,4C,BAJO,3,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,1,BAJO,28,2,0,0,0,NA
I,01/09/2020,Campo abierto,3,3,BAJO,42,3,0,0,0,NA
I,01/09/2020,Campo abierto,3,8,BAJO,24,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,13,BAJO,30,5,0,DO,0,NA
I,01/09/2020,Campo abierto,3,2,BAJO,28,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,6,BAJO,20,12,NA,NA,NA,NA
I,01/09/2020,Campo abierto,3,16,BAJO,16,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,10,BAJO,28,1,0,0,0,NA
I,01/09/2020,Campo abierto,3,7,BAJO,12,0,0,0,0,NA
I,01/09/2020,Campo abierto,3,5,BAJO,30,7,NA,NA,0,NA
I,01/09/2020,Campo abierto,3,9,BAJO,7,3,0,NA,NA,NA
I,10/09/2020,Invernadero,1,3,ALTO,17,1,0,0,0,"CUELLO EXTRANGULADO, MOSCA BLANCA"
I,10/09/2020,Invernadero,1,2,ALTO,16,1,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,1,1,ALTO,10,1,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,1,5,ALTO,13,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,1,4,ALTO,10,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,1,6,ALTO,18,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,1,7,ALTO,17,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,2,6,ALTO,14,1,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,2,7,ALTO,20,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,2,3,ALTO,18,1,0,0,0,DOS TUTORADOS ABAJO
I,10/09/2020,Invernadero,2,4,ALTO,12,1,0,0,0,POCO DESARROLLO
I,10/09/2020,Invernadero,2,2,ALTO,15,0,0,0,0,3 PLANTAS TUTORADO BAJO
I,10/09/2020,Invernadero,2,1,ALTO,16,0,0,0,0,"MOSCA BLANCA, QUEMAZON EN LAS HOJAS"
I,10/09/2020,Invernadero,2,5,ALTO,17,0,0,0,0,4 PLANTAS TUTORADO BAJO MOSCA
I,10/09/2020,Invernadero,3,2,ALTO,13,1,0,0,0,9 PLANTAS SIN TUTORADO
I,10/09/2020,Invernadero,3,4,ALTO,14,0,0,0,0,2 PLANTAS VOLCADAS MOSCA
I,10/09/2020,Invernadero,3,5,ALTO,10,0,0,0,0,"5 PLANTAS VOLCADAS TUTORADO, MOSCA"
I,10/09/2020,Invernadero,3,3,ALTO,17,0,0,0,0,1 PLANTA VOLCADA TUTORADO MOSCA
I,10/09/2020,Invernadero,3,1,ALTO,14,1,0,0,0,"2 PLANTAS VOLCADAS TUTORADO, 1 PLANTA DOBLADA, MOSCA"
I,10/09/2020,Invernadero,3,6,ALTO,17,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,3,7,ALTO,17,1,0,0,0,MOSCA
I,10/09/2020,Invernadero,1,11,BAJO,13,0,0,0,0,LECHUGAS ETIOLADAS
I,10/09/2020,Invernadero,1,4,BAJO,9,0,0,0,0,NA
I,10/09/2020,Invernadero,1,5,BAJO,30,0,0,0,0,CLOROSIS GENERALIZADA
I,10/09/2020,Invernadero,1,9,BAJO,20,3,0,0,0,NA
I,10/09/2020,Invernadero,1,13,BAJO,20,0,0,0,0,NA
I,10/09/2020,Invernadero,1,16,BAJO,8,0,0,0,0,6 DEFOLIADAS POR INSECTO
I,10/09/2020,Invernadero,1,10,BAJO,16,0,0,0,0,NA
I,10/09/2020,Invernadero,1,15,BAJO,4,0,0,0,0,NA
I,10/09/2020,Invernadero,1,2,BAJO,20,0,0,0,0,NA
I,10/09/2020,Invernadero,1,8,BAJO,11,0,0,0,0,NA
I,10/09/2020,Invernadero,1,6,BAJO,15,0,0,0,0,"CONTROL DE ARVENCES, CLOROSIS GENERAL"
I,10/09/2020,Invernadero,1,1,BAJO,25,0,0,0,0,NA
I,10/09/2020,Invernadero,1,3,BAJO,23,1,0,0,0,QUEMAZÓN BORDES DE HOJAS
I,10/09/2020,Invernadero,1,14,BAJO,6,1,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,1,12,BAJO,15,1,0,0,0,NA
I,10/09/2020,Invernadero,1,7,BAJO,16,0,0,0,0,APORQUE
I,10/09/2020,Invernadero,2,16,BAJO,6,0,0,0,0,MAS PEQUEÑAS EN COMPARACIÓN CON LAS DEMÁS
I,10/09/2020,Invernadero,2,11,BAJO,15,1,0,0,0,MOSCA BLANCA
I,10/09/2020,Invernadero,2,15,BAJO,8,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,2,14,BAJO,8,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,2,5,BAJO,21,6,0,0,0,CLOROSIS GENERALIZADA
I,10/09/2020,Invernadero,2,8,BAJO,7,0,0,0,0,MOSCA
I,10/09/2020,Invernadero,2,12,BAJO,15,0,0,0,0,MOSCA
I,10/09/2020,Invernadero,2,9,BAJO,20,0,0,0,0,NA
I,10/09/2020,Invernadero,2,13,BAJO,18,0,0,0,0,QUEMAZÓN EN BORDES DE HOJAS
I,10/09/2020,Invernadero,2,4R,BAJO,8,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,2,4C,BAJO,11,0,0,0,0,NA
I,10/09/2020,Invernadero,2,7,BAJO,16,0,0,0,0,"APORQUE, MOSCA"
I,10/09/2020,Invernadero,2,6,BAJO,11,0,0,0,0,CLOROSIS GENERALIZADA
I,10/09/2020,Invernadero,2,2,BAJO,2,0,0,0,0,QUEMAZÓN EN LOS BORDES
I,10/09/2020,Invernadero,2,3,BAJO,28,0,0,0,0,NA
I,10/09/2020,Invernadero,2,1,BAJO,21,0,0,0,0,CONTROL DE ARVENCES
I,10/09/2020,Invernadero,2,10,BAJO,13,0,0,0,0,NA
I,10/09/2020,Invernadero,3,5,BAJO,25,0,0,0,0,BORDE DE DE LA HOJAS DE COLOR VIOLETA
I,10/09/2020,Invernadero,3,1,BAJO,20,1,0,0,0,NA
I,10/09/2020,Invernadero,3,14,BAJO,8,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,3,12,BAJO,15,0,0,0,0,MOSCA
I,10/09/2020,Invernadero,3,16,BAJO,7,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,3,2,BAJO,15,0,0,0,0,BORDE DE LAS HOJAS QUEMADAS
I,10/09/2020,Invernadero,3,10,BAJO,16,3,0,0,0,1 DEFOLIADA
I,10/09/2020,Invernadero,3,7,BAJO,15,2,0,0,0,NA
I,10/09/2020,Invernadero,3,15,BAJO,10,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,3,11,BAJO,3,0,0,0,0,HOJAS CON QUEMAZÓN EN LOS BORDES
I,10/09/2020,Invernadero,3,13,BAJO,9,1,0,0,0,NA
I,10/09/2020,Invernadero,3,4C,BAJO,NA,NA,NA,NA,NA,NA
I,10/09/2020,Invernadero,3,4R,BAJO,9,4,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Invernadero,3,8,BAJO,6,0,0,0,0,NA
I,10/09/2020,Invernadero,3,9,BAJO,9,0,0,0,0,CAMA DESTRUIDA
I,10/09/2020,Invernadero,3,3,BAJO,24,3,0,0,0,NA
I,10/09/2020,Invernadero,3,6,BAJO,6,0,0,0,0,CLOROSIS GENERALIZADA
I,10/09/2020,Casa Malla,1,5,ALTO,22,0,0,0,0,"TUTORADO, MOSCA BLANCA"
I,10/09/2020,Casa Malla,1,3,ALTO,22,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Casa Malla,1,4,ALTO,18,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Casa Malla,1,2,ALTO,24,0,0,0,0,"TUTORADO, MOSCA BLANCA"
I,10/09/2020,Casa Malla,1,1,ALTO,19,1,0,0,0,MOSCA BLANCA
I,10/09/2020,Casa Malla,1,6,ALTO,22,0,0,0,0,NA
I,10/09/2020,Casa Malla,1,7,ALTO,22,0,0,0,0,NA
I,10/09/2020,Casa Malla,2,6,ALTO,23,0,0,0,0,NA
I,10/09/2020,Casa Malla,2,7,ALTO,23,0,0,0,0,DEFOLIACIÓN POR INSECTOS
I,10/09/2020,Casa Malla,2,2,ALTO,24,3,0,0,0,NA
I,10/09/2020,Casa Malla,2,3,ALTO,23,0,0,0,0,MOSCA BLANCA
I,10/09/2020,Casa Malla,2,1,ALTO,11,0,0,0,0,NA
I,10/09/2020,Casa Malla,2,5,ALTO,7,0,0,0,0,NA
I,10/09/2020,Casa Malla,2,4,ALTO,22,0,0,0,0,NA
I,10/09/2020,Casa Malla,3,3,ALTO,21,0,0,0,0,FALTA TUTORADO
I,10/09/2020,Casa Malla,3,1,ALTO,7,0,0,0,0,QUEMAZÓN EN LOS BORDES
I,10/09/2020,Casa Malla,3,2,ALTO,17,0,0,0,0,NA
I,10/09/2020,Casa Malla,3,5,ALTO,10,0,0,0,0,FALTA TUTORADO
I,10/09/2020,Casa Malla,3,4,ALTO,8,0,0,0,0,NA
I,10/09/2020,Casa Malla,3,6,ALTO,8,0,0,0,0,PRESENCIA DE CURCULIONIDOS
I,10/09/2020,Casa Malla,3,7,ALTO,17,1,0,0,0,NA
I,10/09/2020,Casa Malla,1,5,BAJO,52,0,0,0,0,PERFORADOR DE HOJA
I,10/09/2020,Casa Malla,1,2,BAJO,22,0,0,0,0,NA
